Country,Fuel Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Algeria,Diesel,13.77,18.76,20.42,23.06,23.06,26.53,29.01,29.01,29.01,29.01
Algeria,Petrol,21.2,28.45,32.69,38.95,38.95,41.73,43.71,,,
Angola,Diesel,90.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,183.75
Argentina,Diesel,13.7,24.11,20.54,30.36,47.18,60.94,95.37,162.77,339.13,1141.57
Argentina,Petrol,12.58,19.26,20.02,31.18,45.01,58.84,93.91,137.95,279.5,1030.54
Aruba,Diesel,,1.39,1.47,1.76,1.77,1.45,1.8,2.63,2.36,2.19
Australia,Diesel,102.34,102.66,114.36,134.77,135.11,108.39,129.97,191.58,183.76,174.67
Austria,Diesel,1.03,1.03,1.11,1.22,1.21,1.05,1.23,1.82,1.64,1.6
Azerbaijan,Diesel,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9
Azerbaijan,Petrol,0.7,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05
Bahrain,Diesel,140.0,140.0,140.0,160.0,180.0,180.0,180.0,180.0,180.0,180.0
Bahrain,Petrol,80.0,125.0,125.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
Bangladesh,Diesel,,65.0,65.0,65.0,65.0,66.25,80.0,94.92,109.0,106.4
Bangladesh,Petrol,86.0,86.0,86.0,86.0,86.0,86.0,86.0,105.92,125.0,123.54
Barbados,Diesel,,,2.34,2.9,3.04,2.64,3.03,3.79,3.53,3.47
Belgium,Diesel,1.07,1.11,1.25,1.42,1.44,1.29,1.49,1.93,1.77,1.72
Belize,Diesel,6.3,8.08,9.23,10.49,10.06,8.53,10.25,13.0,12.54,12.3
Belize,Petrol,7.55,9.06,10.12,10.64,10.16,8.9,10.93,13.08,12.54,12.48
Benin,Diesel,,440.0,,,540.91,512.5,500.0,662.0,700.0,700.0
Benin,Petrol,,348.75,331.92,387.52,464.61,485.92,449.62,539.0,624.46,645.5
Bolivia,Diesel,6.3,6.3,6.3,6.3,6.3,6.3,3.72,4.17,6.56,6.3
Bolivia,Petrol,6.21,6.21,6.21,6.21,6.21,6.21,3.74,4.17,6.36,6.21
Bosnia & Herzegovina,Diesel,,1.8,1.89,2.21,2.28,1.94,2.13,3.13,2.75,2.55
Botswana,Diesel,,,767.33,948.0,,832.67,979.42,1611.08,1578.92,1559.62
Botswana,Petrol,,,792.33,897.0,826.67,1036.2,1554.5,1509.17,1449.92,1490.83
Brazil,Diesel,3.11,3.16,3.3,3.63,3.69,3.51,4.62,6.62,5.8,5.93
Brazil,Petrol,3.75,3.76,3.87,4.57,4.51,4.41,6.02,6.25,5.48,5.89
Bulgaria,Diesel,1.06,0.95,1.01,1.11,1.11,0.92,1.06,1.57,1.37,1.31
Burkina Faso,Diesel,576.0,542.67,526.0,538.5,573.25,548.33,543.33,624.17,675.0,675.0
Burkina Faso,Petrol,652.0,618.67,602.0,614.5,660.25,625.0,613.33,696.25,841.67,850.0
Cabo Verde,Diesel,,85.17,89.24,103.29,101.52,80.41,97.52,150.33,132.1,121.95
Cabo Verde,Petrol,,106.93,113.35,125.37,122.02,102.72,124.89,159.31,143.82,138.95
Cambodia,Diesel,,,,,,,0.96,1.27,1.06,0.98
Cambodia,Petrol,,,,,,,1.05,1.19,1.05,1.01
Cameroon,Diesel,600.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,707.92,819.0
Cameroon,Petrol,650.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,721.67,830.83
Canada,Diesel,,97.62,107.14,125.58,119.0,98.47,125.98,192.46,168.45,166.28
Canada,Petrol,,106.41,114.87,129.2,120.41,104.15,137.88,173.97,160.41,164.6
Cayman Islands,Diesel,,,4.2,4.46,4.5,4.08,4.44,6.13,5.81,5.48
Central African Republic,Diesel,,,855.0,855.0,855.0,855.0,855.0,855.0,1400.0,1350.0
Central African Republic,Petrol,,,865.0,865.0,865.0,865.0,865.0,865.0,1200.0,1100.0
Chile,Diesel,483.73,432.44,485.97,580.84,592.56,547.78,627.74,977.69,1039.51,1004.52
Chile,Petrol,711.81,677.19,709.01,780.23,777.67,758.94,854.41,1163.79,1225.47,1278.86
China,Diesel,5.28,5.5,6.02,6.9,6.47,5.34,6.55,8.07,7.57,7.49
China,Petrol,5.49,5.7,6.18,7.0,6.58,5.53,6.65,8.07,7.61,7.53
Colombia,Diesel,7519.5,7423.17,7893.88,8581.08,9139.46,8494.79,8688.62,9232.04,9335.83,9845.66
Congo,Diesel,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,529.17,625.0
Congo (Dem. Rep.),Petrol,,2240.0,2240.0,2240.0,2240.0,2076.67,1995.0,2396.67,2951.67,3268.87
Congo (Rep.),Petrol,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,697.5,775.0
Costa Rica,Diesel,218.33,198.69,246.92,318.7,307.26,204.92,304.1,570.22,419.31,614.21
Costa Rica,Petrol,372.08,362.97,405.7,465.91,446.85,376.82,496.26,687.96,547.98,501.73
Cote d'Ivoire,Diesel,,,572.78,604.17,613.33,598.33,611.25,625.0,670.0,715.0
Cote d'Ivoire,Petrol,,,575.33,609.17,623.75,602.5,611.25,711.67,826.67,875.0
Croatia,Diesel,1.1,1.07,1.17,1.31,1.32,1.16,1.36,1.77,1.58,1.56
Curacao,Diesel,1.06,0.97,1.11,1.44,1.39,1.43,1.66,2.23,1.83,1.78
Cyprus,Diesel,1.17,1.13,1.2,1.31,1.23,1.11,1.28,1.74,1.55,1.51
Czech Republic,Diesel,1.08,1.01,1.12,1.23,1.23,1.06,1.22,1.77,1.5,1.45
DRC,Diesel,,2230.0,2230.0,2230.0,2230.0,2066.67,1985.0,2386.67,2907.17,3276.18
Denmark,Diesel,1.17,1.17,1.25,1.37,1.39,1.21,1.42,1.97,1.74,1.7
Dominican Republic,Diesel,,141.2,159.33,189.72,179.39,154.43,210.79,229.48,230.47,230.35
Dominican Republic,Petrol,,175.83,198.95,221.16,212.76,190.85,237.15,272.79,274.19,272.5
Ecuador,Diesel,1.04,1.04,1.04,1.04,1.03,1.1,1.58,1.81,1.75,1.77
Ecuador,Petrol,1.48,1.48,1.48,1.48,1.85,1.79,2.14,2.48,2.4,2.6
Egypt,Diesel,1.8,1.89,3.0,4.73,6.33,6.75,6.75,7.0,7.92,10.96
Egypt,Petrol,2.1,2.24,3.62,5.22,6.85,6.88,7.25,8.25,9.56,12.58
El Salvador,Diesel,2.25,2.21,2.58,3.17,2.99,2.27,3.07,4.06,4.12,3.7
El Salvador,Petrol,2.5,2.63,2.93,3.38,3.13,2.52,3.5,4.11,4.21,3.9
Equatorial Guinea,Diesel,,,350.0,350.0,350.0,350.0,350.0,450.0,470.0,470.0
Equatorial Guinea,Petrol,,,480.0,480.0,480.0,480.0,480.0,492.5,495.0,495.0
Estonia,Diesel,1.04,1.03,1.18,1.31,1.33,1.1,1.24,1.79,1.61,1.54
Ethiopia,Diesel,,12.22,16.35,16.47,18.51,18.75,23.17,42.78,72.44,83.38
Ethiopia,Petrol,,15.93,18.77,18.85,21.08,21.53,25.96,42.94,69.26,82.48
Fiji,Diesel,1.64,1.38,1.54,1.84,1.86,1.67,1.94,2.83,2.6,2.49
Fiji,Petrol,2.11,1.76,1.89,2.13,2.11,1.98,2.35,2.98,2.83,2.87
Finland,Diesel,1.24,1.2,1.3,1.4,1.41,1.26,1.51,2.13,1.94,1.77
France,Diesel,1.06,1.1,1.23,1.44,1.44,1.26,1.43,1.85,1.8,1.7
French Guiana,Diesel,,,,1.43,1.46,1.29,1.49,1.86,1.78,1.8
Gabon,Diesel,470.0,470.83,504.58,591.67,642.5,606.25,585.0,585.0,583.33,575.0
Gabon,Petrol,535.0,543.33,579.17,646.67,670.42,625.0,605.0,605.0,603.33,595.0
Gambia,Diesel,,,45.23,53.71,53.27,46.09,51.11,66.64,72.18,
Gambia,Petrol,,,47.27,52.88,51.44,45.11,53.2,71.34,74.56,
Germany,Diesel,1.08,1.08,1.17,1.28,1.25,1.11,1.39,1.96,1.73,1.65
Ghana,Diesel,,,4.23,5.01,5.34,4.97,6.2,13.65,15.86,14.98
Ghana,Petrol,,,4.25,4.9,5.23,4.9,6.21,11.84,15.16,14.12
Greece,Diesel,1.1,1.07,1.27,1.39,1.38,1.19,1.37,1.87,1.7,1.63
Greenland,Diesel,6.2,5.9,5.6,5.18,5.27,5.35,4.82,4.55,4.55,5.0
Greenland,Petrol,6.05,5.75,5.45,5.03,5.12,5.2,4.67,4.4,4.4,4.85
Grenada,Diesel,12.3,12.1,13.15,14.86,14.69,12.33,14.33,14.75,15.53,14.96
Guatemala,Diesel,16.26,16.81,18.88,22.69,21.93,17.18,23.4,34.5,31.88,28.8
Guatemala,Petrol,19.54,20.79,22.82,25.79,24.71,21.24,27.93,35.65,33.73,31.19
