brand,model,battery_kwh,kwh_per_100km,range_km
Abarth,500e Convertible,37.8,15.6,225
Abarth,500e Hatchback,37.8,14.899999999999999,225
Abarth,600e Scorpionissima,50.8,15.8,280
Abarth,600e Turismo,50.8,15.8,280
Aiways,U5,60.0,15.6,315
Aiways,U6,60.0,15.0,350
Alfa,Romeo Junior Elettrica 54 kWh,50.8,12.8,320
Alfa,Romeo Junior Elettrica 54 kWh Veloce,50.8,16.400000000000002,310
Alpine,A290 Electric 180 hp,52.0,13.8,310
Alpine,A290 Electric 220 hp,52.0,14.399999999999999,305
Audi,A6 Avant e-tron,75.8,14.6,465
Audi,A6 Avant e-tron performance,94.9,15.1,575
Audi,A6 Avant e-tron quattro,94.9,15.7,560
Audi,A6 Sportback e-tron,75.8,13.600000000000001,495
Audi,A6 Sportback e-tron performance,94.9,14.099999999999998,610
Audi,A6 Sportback e-tron quattro,94.9,14.7,590
Audi,Q4 Sportback e-tron 40,59.0,15.6,340
Audi,Q4 Sportback e-tron 45,77.0,16.2,435
Audi,Q4 Sportback e-tron 45 quattro,77.0,16.5,410
Audi,Q4 Sportback e-tron 55 quattro,77.0,16.5,415
Audi,Q4 e-tron 40,59.0,15.9,325
Audi,Q4 e-tron 45,77.0,16.900000000000002,420
Audi,Q4 e-tron 45 quattro,77.0,17.1,395
Audi,Q4 e-tron 55 quattro,77.0,17.1,395
Audi,Q6 e-tron,75.8,16.6,395
Audi,Q6 e-tron Sportback,75.8,13.900000000000002,410
Audi,Q6 e-tron Sportback performance,94.9,14.499999999999998,510
Audi,Q6 e-tron Sportback quattro,94.9,14.899999999999999,500
Audi,Q6 e-tron performance,94.9,17.1,490
Audi,Q6 e-tron quattro,94.9,17.599999999999998,480
Audi,S6 Avant e-tron,94.9,15.6,530
Audi,S6 Sportback e-tron,94.9,14.899999999999999,555
Audi,SQ6 e-tron,94.9,16.900000000000002,470
Audi,SQ6 e-tron Sportback,94.9,16.400000000000002,495
Audi,e-tron GT RS,97.0,18.4,525
Audi,e-tron GT RS performance,97.0,18.2,525
Audi,e-tron GT S,97.0,17.2,540
Audi,e-tron GT quattro,97.0,16.900000000000002,540
BMW,i4 M50,81.3,19.7,450
BMW,i4 eDrive35,67.1,17.4,430
BMW,i4 eDrive40,81.3,17.4,515
BMW,i4 xDrive40,81.3,18.3,490
BMW,i5 M60 xDrive Sedan (MY25),81.2,17.2,430
BMW,i5 M60 xDrive Touring (MY25),81.2,17.9,425
BMW,i5 eDrive40 Sedan (MY25),81.2,15.9,480
BMW,i5 eDrive40 Touring (MY25),81.2,16.5,465
BMW,i5 xDrive40 Sedan (MY25),81.2,16.7,465
BMW,i5 xDrive40 Touring (MY25),81.2,17.4,450
BMW,i7 M70 xDrive,101.7,20.8,490
BMW,i7 eDrive50,101.7,17.7,520
BMW,i7 xDrive60,101.7,17.2,510
BMW,iX M70 xDrive,108.9,20.9,500
BMW,iX xDrive45,94.8,19.3,470
BMW,iX xDrive60,109.1,19.400000000000002,525
BMW,iX1 eDrive20,64.7,15.0,390
BMW,iX1 xDrive30,64.7,15.5,380
BMW,iX2 eDrive20,64.7,14.7,395
BMW,iX2 xDrive30,64.7,15.5,385
BYD,ATTO 2,45.1,14.499999999999998,245
BYD,ATTO 3 (MY25),60.5,14.399999999999999,340
BYD,DOLPHIN 44.9 kWh Active,44.9,13.200000000000001,265
BYD,DOLPHIN 44.9 kWh Boost,44.9,14.499999999999998,260
BYD,DOLPHIN 60.4 kWh,60.5,14.2,350
BYD,DOLPHIN SURF 30 kWh Active,30.0,13.600000000000001,190
BYD,DOLPHIN SURF 43.2 kWh Boost,43.2,13.4,270
BYD,DOLPHIN SURF 43.2 kWh Comfort,43.2,13.900000000000002,265
BYD,SEAL 61.4 kWh RWD Comfort,61.4,13.3,365
BYD,SEAL 82.5 kWh AWD Excellence,82.5,15.9,445
BYD,SEAL 82.5 kWh RWD Design,82.5,14.499999999999998,480
BYD,SEAL U 71.8 kWh Comfort,71.8,17.1,360
BYD,SEAL U 87 kWh Design,87.0,17.4,425
BYD,SEALION 7 82.5 kWh AWD Design,82.5,18.099999999999998,400
BYD,SEALION 7 82.5 kWh RWD Comfort,82.5,17.1,415
BYD,SEALION 7 91.3 kWh AWD Excellence,91.3,18.2,430
BYD,TANG Flagship,108.8,20.5,460
CUPRA,Born 170 kW - 59 kWh,59.0,15.6,360
CUPRA,Born 170 kW - 77 kWh,77.0,15.7,460
CUPRA,Born VZ,79.0,14.899999999999999,465
CUPRA,Tavascan Endurance,77.0,14.2,445
CUPRA,Tavascan VZ,77.0,15.0,425
Cadillac,Lyriq 600 E4,102.0,19.2,460
Citroen,e-Berlingo M 50 kWh,50.0,14.899999999999999,235
Citroen,e-Berlingo XL 50 kWh,50.0,14.899999999999999,230
Citroen,e-C3,44.0,13.5,255
Citroen,e-C3 Aircross,44.0,14.399999999999999,240
Citroen,e-C4,46.3,13.5,285
Citroen,e-C4 54 kWh,50.8,12.2,325
Citroen,e-C4 X,46.3,13.200000000000001,290
Citroen,e-C4 X 54 kWh,50.8,11.899999999999999,335
Citroen,e-SpaceTourer M 50 kWh,46.3,21.7,180
Citroen,e-SpaceTourer M 75 kWh,68.0,20.200000000000003,260
Citroen,e-SpaceTourer XL 50 kWh,46.3,21.9,180
Citroen,e-SpaceTourer XL 75 kWh,68.0,20.4,260
DS,3 E-Tense,50.8,12.8,300
DS,N°4 E-Tense,58.3,13.0,375
DS,N°8 AWD Long Range,97.2,14.6,530
DS,N°8 FWD,73.7,14.099999999999998,415
DS,N°8 FWD Long Range,97.2,13.600000000000001,545
Dacia,Spring Electric 45,25.0,10.9,165
Dacia,Spring Electric 65,25.0,11.4,160
Dongfeng,Box 31.4 kWh,29.0,12.6,190
Dongfeng,Box 42.3 kWh,40.0,12.9,255
Elaris,BEO 86 kWh,81.0,20.3,390
Fiat,500e 3+1 24 kWh,21.3,11.200000000000001,135
Fiat,500e 3+1 42 kWh,37.3,12.2,235
Fiat,500e Cabrio 24 kWh,21.3,11.200000000000001,135
Fiat,500e Cabrio 42 kWh,37.3,12.5,230
Fiat,500e Hatchback 24 kWh,21.3,11.200000000000001,135
Fiat,500e Hatchback 42 kWh,37.3,11.799999999999999,235
Fiat,600e,50.8,12.4,310
Fiat,Grande Panda,43.8,13.600000000000001,260
Ford,Capri Extended Range AWD,79.0,14.799999999999999,455
Ford,Capri Extended Range RWD,77.0,13.5,455
Ford,Capri Standard Range RWD,52.0,16.3,320
Ford,Explorer Extended Range AWD,79.0,15.299999999999999,440
Ford,Explorer Extended Range RWD,77.0,13.900000000000002,435
Ford,Explorer Standard Range RWD,52.0,13.700000000000001,305
Ford,Mustang Mach-E ER AWD (MY25),88.0,16.0,435
Ford,Mustang Mach-E ER AWD (MY24),91.0,16.5,445
Ford,Mustang Mach-E ER RWD (MY25),88.0,14.7,475
Ford,Mustang Mach-E ER RWD (MY24),91.0,15.2,480
Ford,Mustang Mach-E GT (MY24),91.0,17.7,425
Ford,Mustang Mach-E GT (MY25),91.0,17.7,435
Ford,Mustang Mach-E Rally (MY25),91.0,17.8,415
Ford,Mustang Mach-E Rally (MY24),91.0,17.8,410
Ford,Mustang Mach-E SR RWD (MY24),72.6,15.4,385
