fuel_type,mpg,km_per_litre
Gasoline,18,7.652592
Gasoline,22,9.353168
Gasoline,21,8.928024
Gasoline,21,8.928024
Gasoline,21,8.928024
Gasoline,16,6.802304
Gasoline,17,7.227448000000001
Gasoline,13,5.526872
Gasoline,14,5.952016
Gasoline,22,9.353168
Gasoline,21,8.928024
Gasoline,17,7.227448000000001
Gasoline,20,8.502880000000001
Gasoline,18,7.652592
Gasoline,12,5.1017280000000005
Gasoline,12,5.1017280000000005
Gasoline,12,5.1017280000000005
Gasoline,12,5.1017280000000005
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,20,8.502880000000001
Gasoline,18,7.652592
Gasoline,13,5.526872
E85,9,3.826296
Gasoline,13,5.526872
Gasoline,13,5.526872
E85,8,3.401152
E85,8,3.401152
E85,10,4.2514400000000006
Gasoline,13,5.526872
Gasoline,15,6.37716
Gasoline,14,5.952016
Gasoline,15,6.37716
Gasoline,15,6.37716
Gasoline,15,6.37716
Gasoline,14,5.952016
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,21,8.928024
Gasoline,21,8.928024
Gasoline,21,8.928024
Gasoline,21,8.928024
Gasoline,9,3.826296
E85,8,3.401152
E85,8,3.401152
E85,8,3.401152
Gasoline,12,5.1017280000000005
E85,8,3.401152
Gasoline,11,4.676584
Gasoline,10,4.2514400000000006
Gasoline,10,4.2514400000000006
Gasoline,10,4.2514400000000006
Gasoline,19,8.077736
Gasoline,20,8.502880000000001
Gasoline,19,8.077736
Gasoline,21,8.928024
Gasoline,21,8.928024
Gasoline,21,8.928024
Gasoline,20,8.502880000000001
Gasoline,20,8.502880000000001
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,19,8.077736
Gasoline,15,6.37716
Gasoline,16,6.802304
Gasoline,18,7.652592
Gasoline,21,8.928024
Gasoline,20,8.502880000000001
Gasoline,20,8.502880000000001
Gasoline,17,7.227448000000001
Gasoline,18,7.652592
Gasoline,16,6.802304
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,17,7.227448000000001
Gasoline,16,6.802304
Gasoline,16,6.802304
Gasoline,17,7.227448000000001
Gasoline,17,7.227448000000001
Gasoline,17,7.227448000000001
Gasoline,17,7.227448000000001
Gasoline,17,7.227448000000001
Gasoline,16,6.802304
Gasoline,14,5.952016
Gasoline,15,6.37716
Gasoline,13,5.526872
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,17,7.227448000000001
Gasoline,17,7.227448000000001
Gasoline,17,7.227448000000001
Gasoline,17,7.227448000000001
Gasoline,17,7.227448000000001
Gasoline,21,8.928024
Gasoline,17,7.227448000000001
Gasoline,21,8.928024
Gasoline,22,9.353168
Gasoline,21,8.928024
Gasoline,19,8.077736
Gasoline,22,9.353168
Gasoline,21,8.928024
Gasoline,22,9.353168
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,21,8.928024
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,19,8.077736
Gasoline,18,7.652592
Gasoline,21,8.928024
Gasoline,19,8.077736
Gasoline,18,7.652592
Gasoline,18,7.652592
Gasoline,19,8.077736
Gasoline,21,8.928024
Gasoline,21,8.928024
Gasoline,21,8.928024
Gasoline,21,8.928024
Gasoline,29,12.329176
Gasoline,29,12.329176
Gasoline,29,12.329176
Gasoline,38,16.155472
Gasoline,28,11.904032
Gasoline,28,11.904032
Gasoline,21,8.928024
Gasoline,21,8.928024
Gasoline,21,8.928024
Gasoline,21,8.928024
Gasoline,21,8.928024
Gasoline,22,9.353168
Gasoline,21,8.928024
Gasoline,20,8.502880000000001
Gasoline,21,8.928024
Gasoline,21,8.928024
Gasoline,23,9.778312
Gasoline,23,9.778312
Gasoline,22,9.353168
Gasoline,17,7.227448000000001
Gasoline,23,9.778312
Gasoline,19,8.077736
Gasoline,22,9.353168
Gasoline,22,9.353168
Gasoline,29,12.329176
Gasoline,29,12.329176
